IATA Code,Airport Name,Location,Latitude,Longitude
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,19.0896,72.8656
BLR,Kempegowda International Airport,Bangalore,13.1986,77.7066
DEL,Indira Gandhi International Airport,New Delhi,28.5681,77.1126
MAA,Chennai International Airport,Chennai,12.99,80.169
CCU,Netaji Subhas Chandra Bose International Airport,Kolkata,22.6522,88.4466
HYD,Rajiv Gandhi International Airport,Hyderabad,17.2316,78.4292
COK,Cochin International Airport,Kochi,10.152,76.4017
PNQ,Pune Airport,Pune,18.5822,73.9197
GOI,Goa International Airport,"Dabolim, Goa",15.3801,73.8319
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,23.0778,72.6348
JAI,Jaipur International Airport,Jaipur,26.8241,75.8129
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,26.106,91.5859
TRV,Trivandrum International Airport,Thiruvananthapuram,8.4821,76.9209
CCJ,Calicut International Airport,Kozhikode,11.1395,75.9553
BBI,Biju Patnaik International Airport,Bhubaneswar,20.252,85.8173
VTZ,Visakhapatnam International Airport,Visakhapatnam,17.7215,83.2245
IXB,Bagdogra Airport,Bagdogra,26.6841,88.3247
IXC,Chandigarh International Airport,Chandigarh,30.6737,76.7894
IDR,Devi Ahilya Bai Holkar Airport,Indore,22.7215,75.8011
PAT,Jai Prakash Narayan International Airport,Patna,25.5941,85.0908
IXR,Birsa Munda Airport,Ranchi,23.3171,85.3215
